code,stock_name
US.AAOI,Applied Optoelectronics Inc
US.RCII,Rent-A-Center Inc
US.LCI,"Lannett Company, Inc."
US.HMNY,Helios & Matheson Analytics
US.MTCH,Match Group Inc
US.CRR,CARBO Ceramics Inc.
US.GOGO,Gogo Inc
US.MDXG,MiMedx Group Inc
US.AKAO,Achaogen Inc
US.GME,GameStop Corp.
US.JCP,"J.C. Penney Company, Inc."
US.OSTK,"Overstock.com, Inc."
US.SPKE,Spark Energy Inc
US.ASPS,Altisource Portfolio Solutions
US.ANGI,ANGI Homeservices Inc
US.TRUP,Trupanion Inc
US.INSY,Insys Therapeutics Inc
US.FTR,Frontier Communications Corp
US.UBNT,Ubiquiti Networks Inc
US.MNK,Mallinckrodt PLC
US.APRN,Blue Apron Holdings Inc
US.ABEO,Abeona Therapeutics Inc
US.SN,Sanchez Energy Corp
US.ADMS,Adamas Pharmaceuticals Inc
US.AXDX,Accelerate Diagnostics Inc
US.RH,Restoration Hardware Holdings
US.VRAY,Viewray Inc
US.BKE,Buckle Inc
US.HIIQ,Health Insurance Innovations
US.WATT,Energous Corp
US.TDOC,Teladoc Inc
US.FLXN,Flexion Therapeutics Inc
US.SEAS,SeaWorld Entertainment Inc
US.UAA,Under Armour Inc
US.ZOES,Zoe's Kitchen Inc
US.PI,IMPINJ Inc
US.REN,Resolute Energy Corp
US.SRG,Seritage Growth Properties
US.FRED,"Fred's, Inc."
US.XON,Intrexon Corp
US.SHAK,Shake Shack Inc
US.DDS,"Dillard's, Inc."
US.GNC,GNC Holdings Inc
US.MTSI,MACOM Technology Solutions Hol
US.EROS,Eros International plc
US.LJPC,La Jolla Pharmaceutical Compan
US.RRGB,"Red Robin Gourmet Burgers, Inc"
US.DDD,3D Systems Corporation
US.TSLA,Tesla Motors Inc
US.ERII,"Energy Recovery, Inc."
US.ELF,e.l.f. Beauty Inc
US.XBIT,XBiotech Inc
US.XONE,ExOne Co
US.PZZA,"Papa John's Int'l, Inc."
US.JONE,Jones Energy Inc
US.LAYN,Layne Christensen Company
US.AMAG,"AMAG Pharmaceuticals, Inc."
US.AMC,AMC Entertainment Holdings Inc
US.RIOT,Riot Blockchain Inc
US.BIG,"Big Lots, Inc."
US.FOSL,Fossil Group Inc
US.CYH,Community Health Systems
US.CAKE,Cheesecake Factory Inc
US.PETQ,PetIQ Inc
US.RES,"RPC, Inc."
US.TR,"Tootsie Roll Industries, Inc."
US.SAFM,"Sanderson Farms, Inc."
US.NPTN,NeoPhotonics Corp
US.CARA,Cara Therapeutics Inc
US.MDCO,"Medicines Company, The"
US.HTZ,Hertz Global Holdings Inc
US.PETS,Petmed Express Inc
US.ZIOP,ZIOPHARM Oncology Inc.
US.AQMS,Aqua Metals Inc
US.NHTC,Natural Health Trends Corp.
US.RDUS,Radius Health Inc
US.FRSH,Papa Murphy's Holdings Inc
US.SKT,Tanger Factory Outlet Centers
US.CVGW,"Calavo Growers, Inc."
US.GCAP,Gain Capital Holdings Inc
US.TREE,Lendingtree Inc
US.TLGT,"Teligent, Inc."
US.FRTA,Forterra Inc
US.S,Sprint Corp
US.CRC,California Resources Corp
US.SPWR,SunPower Corporation
US.GERN,Geron Corporation
US.SVU,SUPERVALU INC.
US.I,Intelsat SA
US.TSRO,TESARO Inc
US.WSM,"Williams-Sonoma, Inc."
US.SGYP,Synergy Pharmaceuticals Inc
US.SWCH,Switch Inc
US.MNKD,MannKind Corp
US.EPE,EP Energy Corp
US.SNAP,Snap Inc
US.P,Pandora Media Inc
US.DBD,Diebold Nixdorf Inc
US.ZYNE,Zynerba Pharmaceuticals Inc
US.PLSE,Pulse Biosciences Inc
US.FIZZ,National Beverage Corp.
US.ASNA,Ascena Retail Group Inc
US.ICPT,Intercept Pharmaceuticals Inc
US.VHC,VirnetX Holding Corporation
US.CARS,Cars.com Inc
US.VSLR,Vivint Solar Inc
US.SSI,Stage Stores Inc
US.SAM,Boston Beer Co Inc
US.MARA,Marathon Patent Group Inc
US.OMER,Omeros Corporation
US.SORL,"Sorl Auto Parts, Inc."
US.RVLT,Revolution Lighting Technologies
US.ROKU,Roku Inc
US.VUZI,"Vuzix, Corp"
US.JAKK,"JAKKS Pacific, Inc."
US.GPRO,GoPro Inc
US.CPE,Callon Petroleum Company
US.TNTR,Tintri Inc
US.OMEX,Odyssey Marine Exploration Inc
US.ANF,Abercrombie & Fitch Co.
US.EGRX,Eagle Pharmaceuticals Inc
US.USCR,US Concrete Inc
US.KEYW,KEYW Holding Corp.
US.EVH,Evolent Health Inc
US.OPK,Opko Health Inc.
US.SRAX,Social Reality Inc
US.SYNA,"Synaptics, Incorporated"
US.EVHC,Envision Healthcare Corp
US.IMMU,"Immunomedics, Inc."
US.RGR,Sturm Ruger & Company Inc
US.NE,Noble Corporation PLC
US.NETE,Net Element Inc
US.VMW,"VMware, Inc."
US.MYGN,"Myriad Genetics, Inc."
US.CHGG,Chegg Inc
US.GBX,Greenbrier Companies Inc
US.BOFI,"BofI Holding, Inc."
