date,buy,sell,好淡比,净仓,涨跌额,净张贡献
2018/09/07,125779.000,124915.000,1.007,864.000,-151.000,-0.175
2018/09/10,131163.000,129282.000,1.015,1881.000,-204.000,-0.108
2018/09/11,105806.000,106836.000,0.990,-1030.000,-326.000,0.317
2018/09/12,121117.000,120410.000,1.006,707.000,36.000,0.051
2018/09/13,120610.000,117989.000,1.022,2621.000,646.000,0.246
2018/09/14,110645.000,112585.000,0.983,-1940.000,268.000,-0.138
2018/09/17,99146.000,99090.000,1.001,56.000,-364.000,-6.500
2018/09/18,121760.000,114578.000,1.063,7182.000,150.000,0.021
2018/09/19,104100.000,104895.000,0.992,-795.000,370.000,-0.465
2018/09/20,107764.000,108375.000,0.994,-611.000,48.000,-0.079
2018/09/21,4103.000,3684.000,1.114,419.000,126.000,0.301
2018/09/22,15703.000,16616.000,0.945,-913.000,-85.000,0.093
